Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
58,32,73,94523,2,0.7,2,0,0,0,0,1,1
65,39,141,90280,2,6.9,1,0,0,1,0,1,0
30,4,18,93711,4,0.3,2,84,0,0,0,1,0
50,24,31,95054,1,0.3,3,0,0,0,0,0,0
49,23,70,92093,2,1.5,2,0,0,0,0,0,0
50,24,80,95616,4,4.9,1,0,0,0,0,1,0
46,22,102,95039,3,4.5,3,0,1,0,0,1,0
28,3,95,90245,2,1.8,2,0,0,0,0,0,0
60,35,39,91711,2,1.6,3,0,0,0,0,1,0
26,1,88,94025,2,1.8,2,0,0,0,0,0,0
31,5,85,95828,2,1.3,1,119,0,0,0,1,1
30,6,83,93101,4,3.4,1,0,0,1,0,1,0
60,35,122,92521,1,1.3,1,0,0,0,0,0,0
29,3,50,94010,3,1.1,2,0,0,0,0,0,1
63,38,110,90095,3,1.8,2,109,0,0,0,1,0
37,13,70,92101,2,2.7,1,0,0,0,0,0,0
41,16,49,92122,3,0.5,3,0,0,0,0,1,0
37,7,73,94043,4,1.8,3,0,0,0,0,1,1
62,38,65,91768,1,0,2,0,0,0,0,1,0
63,39,41,95449,2,1.1,1,0,0,0,0,0,0
48,23,45,95053,1,1.3,2,0,0,0,0,1,0
52,27,30,94305,2,0.7,2,0,0,0,0,1,1
55,30,28,95123,1,1.5,2,0,0,0,0,0,0
52,28,20,95616,1,0.3,1,0,0,0,0,0,0
49,25,24,95818,4,0.2,1,138,0,0,0,1,0
55,29,64,93437,3,0.8,1,119,0,0,0,0,1
31,7,173,91040,1,6,1,0,0,0,0,1,0
38,13,168,92647,2,1.3,3,0,1,0,0,0,0
52,27,94,93106,1,2.8,2,333,0,0,0,1,0
26,1,54,94061,4,0.6,2,230,0,0,0,0,0
56,31,68,94571,2,0,3,0,0,1,0,1,0
36,10,82,94542,2,2.8,1,0,0,0,0,0,1
41,16,33,94309,4,0,2,0,0,0,0,1,0
50,24,30,91768,4,0.1,1,161,0,0,0,1,1
40,15,173,95060,4,6.6,1,0,1,0,1,1,1
52,26,35,91711,3,0.9,3,0,0,0,0,0,0
33,7,80,91103,2,1.5,3,0,0,0,0,1,1
64,38,84,94571,1,2,1,0,0,0,0,0,0
25,1,113,95023,2,0.2,1,0,0,0,0,1,1
32,7,101,90232,4,2.2,2,0,0,0,0,1,0
62,37,53,92028,2,2.8,1,0,0,0,0,1,0
41,16,82,92507,1,4,3,0,0,0,0,1,0
45,18,53,92104,3,2.5,2,112,0,0,0,0,0
42,18,51,92868,3,2.1,3,0,0,0,0,0,0
54,24,49,91801,1,1.4,3,0,0,0,0,1,0
46,20,15,95370,4,0.6,3,0,0,1,0,1,0
64,38,22,92697,2,0.2,3,0,0,1,0,0,0
38,12,29,92084,2,1.4,3,0,0,0,0,1,0
41,17,93,92835,4,0.8,1,218,0,0,0,0,0
55,31,91,94110,2,2.8,1,0,0,0,0,1,0
45,18,42,95126,3,2.5,2,0,0,0,0,0,0
40,15,54,90266,3,0.8,3,0,0,0,0,1,0
32,8,183,94080,1,6,1,0,0,0,0,0,0
33,7,88,94583,3,1.6,1,0,0,0,0,1,1
48,22,59,91775,1,1.4,3,241,0,0,0,1,0
40,14,28,90404,2,0.8,3,0,0,0,0,0,0
53,27,35,94583,3,0.9,3,136,0,0,0,1,0
36,10,74,94305,1,2.5,1,0,0,0,0,0,1
57,32,80,92647,2,0,3,0,0,0,0,0,0
61,36,128,94550,1,2.6,1,0,0,0,0,1,0
41,17,63,90745,2,3.2,1,0,0,0,0,0,0
49,24,79,95827,1,0.2,2,83,0,0,0,1,1
29,4,80,90028,1,0.8,2,0,0,0,0,1,1
28,3,52,94112,4,1.7,2,0,0,0,0,0,0
43,18,53,92115,3,0.8,3,154,0,0,0,0,0
56,30,90,94402,1,1.9,2,0,0,0,0,1,0
49,23,23,94305,4,0.6,3,98,0,1,0,0,0
56,32,22,91768,1,1.2,3,0,0,0,0,1,1
66,41,14,95814,4,0.6,2,0,0,0,0,0,0
45,19,125,92354,1,2.4,1,0,0,0,0,0,0
32,7,42,92634,4,0.8,1,0,0,0,0,1,1
35,11,9,93106,4,0.7,2,0,0,0,0,1,0
29,4,102,90245,2,3.3,1,303,0,0,0,0,0
56,30,64,95123,3,0.3,2,0,0,0,0,0,1
58,33,25,92121,4,0.9,2,90,0,0,0,1,1
43,18,53,92115,3,0.8,3,154,0,0,0,0,0
60,34,31,91007,2,1,3,0,0,0,0,0,0
50,24,133,90025,4,1.4,2,342,1,0,0,0,1
28,3,123,92007,1,0.8,1,146,0,0,0,0,0
48,22,145,95482,1,0.3,1,140,0,0,0,1,0
42,18,31,94720,1,0.3,3,0,0,0,0,0,1
33,3,71,93561,4,1.8,3,236,0,0,0,0,0
58,32,51,95819,1,2.8,2,0,0,0,0,1,0
50,24,102,91103,2,6.3,1,0,0,0,0,1,0
50,25,35,94105,3,1.7,2,0,0,0,0,1,1
60,34,43,92697,1,1.4,1,0,0,0,0,1,1
42,17,89,90095,1,0.1,2,170,0,0,0,1,0
34,8,44,91101,4,0.2,1,0,0,0,0,0,0
62,37,32,90266,3,0.2,1,0,0,1,0,0,1
43,19,123,91107,3,1.3,1,0,1,0,0,1,0
63,33,178,91768,4,9,3,0,1,0,0,0,0
47,23,65,93943,1,0,1,0,0,0,0,0,0
34,8,11,91320,4,0.3,1,0,0,1,1,1,1
58,34,42,90095,4,1.5,1,0,0,0,0,1,1
56,30,55,94107,1,1.4,1,77,0,0,0,1,0
29,5,18,94122,1,0.4,3,94,0,0,0,1,1
50,26,48,91711,1,1.6,2,0,0,0,0,0,1
54,28,33,94710,2,0.4,3,0,0,0,0,1,0
30,5,121,94555,2,3.1,1,408,0,0,0,1,0
36,12,123,90502,2,3,3,0,1,0,0,0,0
36,6,25,95020,1,0.67,3,0,0,0,0,1,0
57,32,75,94928,2,3.7,1,236,0,0,0,1,0
55,29,42,95833,4,2.5,1,0,0,1,0,0,0
48,18,182,92626,4,6,3,0,1,0,0,1,0
30,6,95,94234,1,3.9,3,146,1,0,0,0,1
57,31,30,95841,2,0.7,2,145,0,0,0,0,0
43,17,91,91311,1,5.7,1,0,0,0,0,1,0
27,3,105,94304,1,3,2,0,1,1,0,0,0
62,36,30,94720,3,0.7,2,0,0,0,0,1,0
39,13,58,94555,3,2.1,1,247,0,0,0,1,0
28,2,22,95670,1,0.1,2,0,0,0,0,1,0
45,21,91,95054,1,4.7,1,0,0,0,0,1,0
52,27,81,91942,1,1.3,3,293,0,0,0,0,1
26,0,12,96003,1,0.1,2,0,0,0,0,1,0
30,6,179,91103,3,4.9,1,142,1,0,0,1,0
32,8,42,90650,1,1.8,2,0,0,0,0,0,0
43,18,85,94960,1,3.7,3,327,0,1,0,1,0
39,13,93,94720,1,1.5,3,0,0,0,0,0,1
27,0,40,92103,4,1,3,0,0,0,0,0,0
55,30,79,92182,2,0,3,0,0,0,0,0,0
59,35,165,94309,2,6,1,0,0,0,0,1,0
54,29,111,93023,1,1.1,2,0,1,0,0,1,0
46,21,34,92373,2,1.3,1,0,0,0,0,1,0
56,31,61,90024,4,0.9,1,0,0,1,1,1,1
27,2,55,91910,4,1.7,2,0,0,0,0,1,0
33,7,15,92152,1,0.4,2,82,0,1,1,1,1
51,26,34,94105,4,0.4,2,0,0,0,0,0,0
39,15,33,92346,1,2,2,0,0,0,0,0,0
48,23,21,94904,1,0.1,1,0,0,0,0,0,0
62,37,39,94305,2,2.8,1,113,0,0,1,1,1
63,37,31,95819,1,0.5,3,0,0,0,0,1,0
31,7,35,91745,2,1,2,0,0,0,0,0,1
49,23,49,94720,1,1.2,2,0,0,0,0,1,1
56,32,125,91330,3,0.6,1,342,1,0,1,1,1
30,3,32,94132,1,2,2,0,0,0,0,1,1
56,32,122,95827,2,0.3,1,360,0,0,1,1,1
40,16,42,94501,4,2.2,2,126,0,0,0,0,0
60,34,65,90024,4,1.7,2,0,0,1,0,1,0
58,28,122,95136,1,3,3,115,1,0,0,1,0
50,24,95,91401,1,0.3,1,262,0,0,0,1,0
49,24,45,92104,3,1.7,2,0,0,1,0,1,0
57,32,33,95747,2,2,2,0,0,0,0,1,0
35,9,45,90639,3,0.9,1,101,0,1,0,0,0
52,26,180,94305,1,1,1,0,0,0,0,1,1
62,38,39,96003,4,2.2,1,0,0,1,0,1,0
57,31,41,91330,1,0.2,1,0,0,0,0,1,1
40,16,69,92009,4,2.4,1,0,0,0,0,1,0
42,16,32,90033,3,0.5,2,0,0,0,0,0,1
29,4,22,92661,2,0.9,3,110,0,0,0,0,0
42,16,11,94015,1,0.2,1,87,0,0,0,0,1
37,7,73,94043,4,1.8,3,0,0,0,0,1,1
42,12,29,93611,3,2,3,0,0,0,0,0,0
27,2,170,95818,3,4.7,1,0,1,0,0,1,0
26,0,42,92009,4,1.3,3,153,0,0,0,1,0
41,17,78,95929,4,2.67,1,99,0,0,0,1,0
45,19,58,94305,2,0.4,3,0,0,1,0,0,1
44,18,75,91203,2,3.5,1,0,1,0,0,1,0
55,29,72,93107,3,0.3,2,147,0,0,0,0,0
46,19,24,90025,3,0.67,2,0,0,0,0,1,0
52,28,149,94043,2,6.8,1,0,0,0,0,1,0
51,26,14,92182,2,0,1,103,0,0,0,1,0
33,9,19,95370,2,1,2,92,0,0,0,1,0
64,39,42,92068,3,0.5,2,116,0,0,0,1,0
45,19,60,91911,1,0.7,3,159,0,0,0,1,0
63,38,41,90034,2,1.5,1,173,0,0,0,1,1
38,12,29,94022,4,0.2,1,0,0,0,0,0,1
57,33,28,90245,1,1.2,3,98,0,0,0,1,0
45,21,39,93305,2,2.1,3,0,0,0,0,0,1
41,16,19,91730,2,0.3,2,105,0,0,0,0,0
26,1,55,90089,3,2.6,3,113,0,0,0,0,1
47,23,160,92037,2,6.67,1,0,0,0,0,0,0
58,34,54,93003,4,1.3,2,0,0,0,0,1,0
49,25,149,90024,2,0.4,1,0,0,0,0,1,0
53,26,22,91304,1,0.5,2,0,0,0,0,1,1
50,25,44,94303,1,0.3,1,187,0,0,0,1,1
48,23,21,94904,1,0.1,1,0,0,0,0,0,0
65,40,34,94720,1,1.1,3,119,0,0,0,1,1
39,14,115,91320,1,1,3,0,0,0,0,1,0
27,1,43,94706,1,1.5,1,0,0,0,0,1,0
61,35,38,93106,2,0.3,1,0,0,0,0,0,0
61,36,139,95133,2,3.9,1,0,0,0,0,0,0
56,32,103,94111,3,4,3,0,1,0,0,0,0
42,18,34,92653,1,2,2,0,0,1,0,0,0
44,20,85,92192,2,3.2,1,0,0,0,0,1,0
47,21,88,94304,2,1.7,2,0,0,0,0,1,0
42,17,98,95670,2,0.4,1,0,0,0,0,1,1
36,10,80,94596,4,2.2,2,0,0,0,0,1,0
41,15,54,91775,3,2.1,1,0,0,0,0,1,0
25,1,54,94117,4,1.6,1,0,0,0,0,1,1
54,29,111,94304,1,0.1,3,0,0,0,0,0,1
23,-3,55,92704,3,2.4,2,145,0,0,0,1,0
26,2,12,94591,4,1,1,0,0,0,0,1,0
37,13,59,94234,1,1.5,3,0,0,0,0,0,1
25,-1,113,90089,4,2.1,3,0,0,0,0,1,0
41,17,154,92697,1,1.7,1,0,0,0,0,0,1
33,9,184,94304,2,4.8,2,0,1,0,0,0,0
51,26,11,92612,2,0,1,0,0,1,0,0,0
52,26,19,90650,2,0.7,2,0,0,0,0,0,1
42,16,49,90034,1,2.8,1,0,0,0,0,0,0
45,19,109,92037,3,1.1,1,0,0,0,0,0,0
36,12,18,95521,4,1,1,0,0,0,0,1,1
54,29,79,91330,4,3.8,2,0,0,1,0,1,0
53,29,24,95818,4,0.2,1,0,0,0,0,1,1
33,7,44,95605,1,0.3,1,0,0,0,0,0,0
56,32,190,90032,3,2.2,1,0,1,0,1,1,0
36,12,93,95125,2,2.2,1,0,0,0,0,1,0
33,8,58,92037,4,1.3,1,0,0,1,0,0,0
56,30,15,92093,4,0.7,3,102,0,0,0,0,0
56,30,61,94707,1,2.2,3,0,0,0,0,1,1
27,1,58,95827,4,1.8,2,154,0,0,1,1,1
44,20,39,93108,2,2.1,3,119,0,0,0,0,0
38,12,39,95825,2,0.3,1,174,0,0,0,1,0
50,25,24,95133,4,0.4,2,137,0,0,0,1,0
43,19,20,94110,3,0.5,1,0,0,0,0,0,0
43,18,38,94309,1,0.5,3,144,0,0,0,1,0
26,0,85,95616,2,1.6,3,0,0,0,0,0,0
34,9,180,93955,2,6.5,3,0,1,0,1,1,0
44,20,101,92717,3,4.4,2,82,1,0,0,0,0
34,9,40,95054,4,2,2,0,0,0,0,1,1
34,10,21,91770,4,0.7,2,0,0,0,0,1,0
31,6,53,92093,4,2.2,1,114,0,0,0,1,0
31,7,140,95616,1,4,1,0,0,0,0,0,1
43,19,35,94112,1,0.3,3,120,0,1,0,1,0
36,11,90,94709,1,2.8,1,0,0,0,0,1,0
66,41,105,93023,1,0.8,3,0,0,1,1,1,1
56,32,38,93311,4,1.3,1,166,0,0,0,1,1
37,11,64,96094,3,0.9,2,0,0,0,0,1,0
26,0,75,94061,3,0.3,3,0,0,0,0,0,0
63,37,31,95819,1,0.5,3,0,0,0,0,1,0
45,19,141,94706,1,2.4,1,0,0,0,0,1,0
47,23,19,90089,1,1,1,0,0,0,0,0,1
29,2,33,91711,1,2,2,160,0,0,0,0,0
34,10,34,95060,1,1.5,2,111,0,0,0,0,1
59,33,59,91365,3,1.4,3,0,0,0,0,0,0
37,11,71,91302,1,2.5,1,185,0,0,0,1,1
38,13,78,91942,4,0.7,3,0,0,0,0,1,0
37,12,194,91380,4,0.2,3,211,1,1,1,1,1
58,32,48,91768,1,2.8,2,0,0,0,0,1,0
40,14,61,94612,3,0.5,3,0,0,0,0,1,0
52,26,28,95405,1,0.3,3,0,0,0,0,1,0
43,18,22,91311,2,0.3,2,0,0,0,0,0,0
57,32,55,90717,4,2.1,1,108,0,0,0,1,0
32,6,111,95014,2,1.5,3,0,0,0,0,0,0
37,12,63,95630,3,2.3,1,0,0,0,0,1,0
56,31,61,92646,4,1.3,3,0,0,0,0,1,1
58,34,54,93003,4,1.3,2,0,0,0,0,1,0
52,28,149,92121,2,0.4,1,0,0,0,0,0,0
58,33,28,94608,2,0.5,2,146,0,1,0,1,0
37,11,34,95616,3,0.2,2,0,0,0,0,0,0
29,5,84,93109,3,0.8,1,0,0,0,0,0,0
35,10,30,95032,3,1.3,1,0,0,1,1,1,1
40,16,34,93561,1,0.7,1,0,0,0,0,1,1
44,20,175,96150,2,1.4,1,0,0,0,0,1,1
26,0,44,94305,4,1.3,3,0,0,1,0,0,0
31,6,64,92121,2,0.1,1,0,0,0,0,1,1
34,10,35,94309,1,1.7,1,0,0,0,0,1,0
55,31,62,91711,1,1.8,3,0,0,0,0,1,0
29,4,83,91950,4,2.2,2,0,0,0,0,1,1
59,35,68,93117,1,1.8,3,95,0,0,0,0,0
51,25,102,92677,1,0.3,1,0,0,0,0,1,0
64,40,8,94110,2,0.3,3,0,0,0,0,1,0
30,6,95,91950,2,0.2,1,0,0,1,0,1,0
45,19,25,94609,2,0.1,3,102,0,0,0,1,0
56,30,55,94107,1,1.4,1,77,0,0,0,1,0
38,14,25,95616,4,1,1,0,0,0,0,0,0
58,32,145,94920,2,0.5,1,119,0,0,0,1,0
48,23,21,94904,1,0.1,1,0,0,0,0,0,0
44,20,138,94143,2,3.3,1,0,0,0,0,0,1
34,9,93,94608,1,0,1,0,0,0,0,1,0
48,24,18,94304,4,0.2,1,0,0,0,0,1,1
28,2,121,92096,2,2,1,341,0,0,0,1,0
38,14,130,95010,4,4.7,3,134,1,0,0,0,0
42,18,43,92037,1,0.7,1,136,0,0,0,0,0
40,16,89,90011,4,0.8,1,155,0,0,0,1,0
51,27,75,95828,1,2.7,1,0,0,0,0,0,0
63,38,85,91320,4,0.1,2,0,0,0,0,0,1
42,17,73,90089,4,0.4,1,0,0,1,0,0,0
42,18,34,92653,1,2,2,0,0,1,0,0,0
37,12,93,90025,1,2.8,1,0,0,1,0,1,0
52,28,15,95064,1,0.2,1,0,0,0,0,1,0
52,26,182,95818,2,1.4,2,0,1,0,0,1,0
34,9,65,95134,4,1.3,1,0,0,0,0,0,1
36,6,11,92008,1,0.67,3,0,0,1,1,1,1
53,23,45,95123,4,2,3,132,0,1,0,0,0
37,12,190,92354,2,3,1,475,0,0,0,1,0
47,23,171,94546,2,1.4,1,284,0,0,0,1,1
47,23,138,91367,2,3.3,1,0,0,0,0,1,1
29,5,44,95819,1,0.2,3,0,0,0,0,1,0
51,25,93,90048,1,0.3,1,0,0,0,0,1,0
26,1,184,94608,2,4.2,3,577,1,0,1,1,1
58,32,74,95817,2,2.3,3,0,0,0,0,0,1
41,15,65,90019,3,0.5,3,0,0,0,0,0,0
34,9,32,95054,4,1.1,3,0,0,0,0,1,0
63,37,84,92691,4,2.4,3,0,0,0,0,1,1
51,27,68,91711,1,1.6,3,0,0,0,0,1,0
63,37,185,94309,2,7.9,2,358,1,0,0,1,0
34,9,71,91711,4,0.7,3,0,0,0,0,1,0
34,9,55,92122,4,2,2,147,0,0,0,0,1
55,30,29,94005,3,0.1,2,0,0,1,1,1,0
62,37,19,93109,3,0.5,1,89,0,0,0,0,0
37,11,190,94305,4,7.3,2,565,1,0,1,1,0
39,15,28,95818,1,1.4,3,118,0,0,0,1,1
63,39,50,94402,1,0,2,166,0,0,0,0,0
26,1,54,91709,2,1.6,3,0,0,1,0,0,0
40,15,22,94306,1,0.6,3,0,0,0,0,1,0
39,12,108,92717,4,3.67,2,301,1,0,0,0,1
57,31,43,95616,1,0.2,1,0,0,0,0,0,0
67,43,105,93711,4,1.7,2,0,0,0,0,1,0
23,-1,12,95064,4,1,1,0,0,1,0,0,1
33,9,50,94305,1,2.4,2,0,0,0,0,0,0
30,6,83,93101,4,3.4,1,0,0,1,0,1,0
30,6,101,90245,2,0.6,1,0,0,0,0,1,0
42,18,71,91614,3,2.33,1,106,0,1,0,1,0
55,31,20,94720,2,0.3,1,0,0,0,0,1,0
55,28,39,94542,3,1,2,0,0,0,0,1,1
35,9,85,92121,2,1.8,1,0,0,0,0,0,0
45,19,83,95051,2,1.7,2,0,0,0,0,1,0
29,3,123,92821,3,5.6,3,428,1,0,0,1,0
27,1,41,93023,4,1.8,3,147,0,0,0,0,0
44,20,130,90291,4,3.2,2,0,1,0,0,0,0
51,26,34,94105,4,0.4,2,0,0,0,0,0,0
33,9,30,95054,2,1,2,0,0,0,0,1,0
31,5,39,94022,4,1.8,3,185,0,0,0,0,1
49,23,19,94521,4,0.6,3,0,0,0,0,1,1
29,3,65,94132,4,1.8,2,244,0,0,0,0,0
42,16,64,94607,3,0.5,3,247,0,0,0,0,0
34,8,14,95014,4,0.3,1,0,0,0,0,0,0
36,6,78,91107,4,1.8,3,163,0,0,0,0,0
50,24,195,95035,1,1.7,1,0,0,0,0,0,0
58,34,65,95747,4,2.2,1,0,0,0,0,1,0
33,7,43,96064,4,0.8,1,0,0,0,0,0,0
